age_yrs,n_bedrooms,house_sqm,garden_sqm,pollution_idx,crime_idx,distance_to_station_km
16,3,182,106,67,45,2.76
12,2,168,96,62,54,4.26
12,2,112,36,63,78,5.84
13,2,164,0,51,55,3.95
5,3,176,50,50,32,3.79
12,3,152,78,53,59,4.76
18,4,168,96,66,50,3.9
12,2,161,52,37,36,3.43
15,3,228,84,62,40,4.81
13,2,147,57,49,53,4.24
12,2,136,59,47,51,4.68
11,2,178,62,47,64,5.37
8,3,232,72,60,34,4.66
8,3,201,55,50,55,5.74
14,4,209,0,55,65,2.31
10,2,147,65,66,60,6.3
15,3,203,90,39,28,5.63
13,3,188,87,61,38,4.47
14,3,223,78,38,40,4.92
7,3,199,90,42,46,5.6
18,2,90,57,37,45,5.64
14,3,201,80,58,29,5.36
14,2,127,0,60,55,4.59
14,3,188,0,55,48,5.15
8,3,220,0,37,21,3.82
14,1,100,49,42,54,5.16
8,3,235,108,18,49,3.67
11,3,178,0,73,34,4.32
13,3,213,0,51,53,3.18
12,2,198,65,30,49,3.83
6,3,165,67,64,45,5.2
9,2,162,56,47,46,6.1
11,2,157,90,42,64,2.82
13,3,197,0,51,59,5.24
13,2,110,0,28,34,4.18
5,3,215,46,40,15,5.57
10,2,196,0,55,45,4.74
10,2,148,0,44,61,5.2
13,1,128,0,46,42,4.62
12,3,225,0,47,37,3.73
11,2,207,80,54,40,4.79
9,3,229,103,45,41,3.6
4,2,145,69,56,50,5.98
8,2,96,71,40,26,5.27
13,2,221,0,45,32,4.57
10,3,171,0,35,59,5.13
17,2,141,0,58,85,4.79
12,2,136,66,45,70,6.3
15,3,222,72,52,37,6.34
10,2,191,0,52,37,3.83
8,3,219,77,61,39,5.4
12,3,239,0,44,63,3.65
14,2,178,71,64,69,4.86
13,3,197,60,42,32,3.51
5,3,200,65,52,38,3.63
11,3,196,0,44,45,4.5
11,3,205,80,42,58,4.26
5,3,208,74,27,50,4.64
7,2,146,0,30,53,6.28
7,3,235,59,67,42,6.13
11,2,138,76,34,53,4.4
9,2,120,73,51,55,5.31
11,2,97,0,55,50,4.72
13,2,190,69,54,50,7.06
14,3,260,112,62,42,3.33
7,3,220,0,43,22,5.26
11,3,232,71,60,58,4.08
10,3,238,69,46,42,3.87
12,4,247,100,51,45,2.29
11,2,176,64,37,35,4.95
9,3,162,0,43,43,3.9
14,3,174,66,37,59,4.79
12,3,234,0,49,37,4.09
14,4,166,60,54,41,5.33
12,2,178,97,42,57,5.11
13,3,96,0,26,34,5.56
13,3,286,81,78,52,4.35
10,2,154,75,48,37,4.08
11,3,183,75,79,50,4.02
16,2,147,65,47,70,5.04
11,3,239,70,44,50,4.3
13,3,170,69,67,41,3.99
12,3,243,0,61,50,4.85
9,3,206,90,48,22,5.6
11,1,128,73,65,72,5.27
10,3,215,52,48,49,2.71
7,4,182,64,60,37,5.61
7,3,162,49,38,45,7.55
7,3,229,70,42,36,6.87
12,3,162,0,58,75,3.49
12,2,143,54,34,49,4.67
11,3,193,0,62,62,4.9
13,1,174,0,41,45,4.85
8,2,139,0,63,61,6.42
9,2,240,89,45,35,4.92
14,2,181,0,37,42,4.4
15,2,195,83,48,55,3.88
15,3,192,105,51,38,2.54
8,2,124,0,24,51,6.24
7,2,151,0,38,48,5.92
9,3,234,106,69,32,3.05
10,3,175,58,54,64,5.48
11,2,207,41,91,65,6.07
13,3,185,60,78,46,3.52
10,3,184,37,73,22,7.43
13,2,187,78,34,32,4.79
8,3,191,0,59,42,4.48
13,2,221,99,33,49,3.99
12,2,149,82,59,49,4.15
15,3,190,92,48,44,5.19
10,2,211,99,49,42,2.93
10,2,102,0,66,53,6.34
16,2,157,76,50,80,5.48
14,3,185,84,44,56,5.63
6,2,129,44,36,25,5.08
14,2,195,0,55,44,5.16
13,3,243,80,74,44,4.34
12,3,149,66,70,37,5.23
11,2,162,65,35,42,5.23
11,3,151,76,45,47,2.69
9,3,195,80,53,25,4.7
10,2,139,68,49,65,5.97
14,3,248,74,60,36,5.11
9,3,184,78,50,49,5.13
13,3,195,85,78,30,3.78
13,2,196,68,40,43,4.32
12,3,206,80,39,21,4.78
10,3,146,83,39,58,4.54
15,2,111,68,54,54,4.45
14,3,225,0,58,43,3.59
6,2,213,42,61,53,4.11
12,3,171,45,62,39,4.66
15,3,141,0,58,81,4.48
9,4,170,106,37,41,3.96
12,3,195,86,60,60,3.28
4,3,218,81,33,25,6.64
10,2,117,0,65,40,5.65
10,2,141,0,41,58,3.92
13,3,184,57,70,57,4.99
11,3,230,114,62,35,3.42
12,3,151,87,40,55,3.89
13,3,195,81,38,42,3.05
12,2,194,81,54,71,4.36
8,3,188,77,52,55,4.63
14,2,183,0,79,63,7.05
12,2,158,66,41,30,5.49
18,3,119,87,71,38,3.74
14,3,149,71,54,26,3.56
7,3,234,0,77,62,3.2
14,2,154,33,59,35,5.35
7,2,166,55,67,55,6.19
8,3,223,86,45,24,3.43
7,2,121,75,50,45,6.05
13,2,196,54,44,61,5.04
13,3,255,77,48,39,4.68
9,2,195,19,63,44,5.4
7,3,206,77,53,30,3.93
10,3,293,104,50,50,2.05
13,3,204,35,67,46,5.26
18,3,219,70,53,45,4.16
15,3,135,76,60,76,5.12
9,2,199,77,34,56,3.75
15,1,107,35,54,52,7.0
8,2,142,58,46,60,5.44
17,2,192,87,50,45,2.86
7,3,293,0,40,50,3.3
13,3,224,85,50,59,3.29
14,2,162,93,53,58,2.43
9,3,253,75,52,37,4.93
14,3,179,58,69,54,6.57
15,3,224,96,52,51,4.14
8,2,180,46,64,58,3.86
13,3,209,99,35,38,2.57
11,3,202,72,56,51,3.18
14,2,223,80,49,31,3.96
10,3,200,87,56,43,3.93
13,3,241,85,55,44,5.03
15,3,172,0,60,47,4.29
9,2,183,84,46,47,3.47
10,2,116,54,31,41,3.73
13,2,237,82,50,29,4.4
10,3,193,0,37,23,4.38
11,3,186,0,55,66,2.59
9,3,151,0,74,59,4.6
8,2,234,0,61,32,5.53
16,2,178,95,65,59,4.26
13,3,210,110,33,13,4.01
10,3,204,58,55,55,5.11
12,2,169,57,59,68,5.6
17,2,142,84,53,60,5.28
13,3,207,97,33,45,3.71
11,3,175,137,32,14,4.15
9,3,258,73,56,44,4.44
11,3,206,83,53,48,4.0
8,2,131,63,51,80,5.44
10,3,251,0,49,45,4.99
15,3,154,49,58,57,4.69
12,2,154,70,30,54,4.34
9,2,116,79,53,42,3.66
10,2,157,83,36,53,4.04
11,3,149,66,61,57,3.9
9,2,111,56,37,52,7.17
13,2,144,48,59,33,5.31
9,4,251,57,65,31,5.64
12,3,152,45,57,34,3.34
9,3,217,0,43,52,4.1
6,2,153,64,21,32,5.77
9,3,241,76,73,47,3.95
15,2,92,117,41,40,3.36
10,2,159,46,27,44,4.2
8,2,189,0,45,63,5.32
14,3,205,102,59,23,4.13
11,3,187,82,59,49,4.98
8,3,199,62,48,25,4.91
5,1,156,36,32,47,5.97
11,2,207,65,41,31,4.96
5,3,194,0,35,55,4.69
5,2,264,69,42,31,5.08
13,3,173,0,65,25,5.63
14,4,176,88,47,38,2.68
15,2,153,77,47,46,3.68
7,3,270,76,34,32,4.0
17,2,144,79,36,57,3.31
13,2,160,33,49,34,6.15
17,3,157,96,63,42,3.89
11,2,159,0,22,50,5.42
10,3,206,93,61,64,4.86
7,2,98,28,71,57,6.41
12,2,166,94,38,35,3.83
10,2,145,83,20,61,4.27
12,2,200,0,70,69,4.27
11,3,119,0,37,32,4.12
17,3,163,88,48,62,3.88
20,3,223,126,33,30,4.44
12,3,176,77,49,44,4.23
7,2,218,0,32,27,5.22
11,4,264,93,63,39,4.44
11,3,196,76,51,62,4.34
8,3,202,93,39,43,5.62
10,2,194,67,53,51,5.28
9,3,198,64,50,45,6.5
14,3,198,92,78,74,3.68
11,3,198,0,58,32,5.61
12,3,177,42,64,56,4.13
10,3,244,0,39,31,4.28
12,4,230,0,60,48,3.24
10,4,188,0,58,46,4.37
8,2,167,0,36,41,6.23
13,3,217,29,43,48,6.52
10,3,226,71,72,27,4.08
14,2,138,55,56,56,4.97
4,2,159,0,20,40,4.52
10,1,95,40,48,68,5.03
12,3,173,0,56,49,5.04
13,2,122,0,52,39,4.3
12,2,75,74,55,56,4.3
12,2,215,80,55,27,4.93
16,2,179,75,73,66,3.9
10,2,136,40,31,49,5.53
10,3,173,39,76,47,5.44
8,3,275,53,61,49,4.2
16,2,183,107,34,45,5.48
9,2,157,0,58,28,5.53
16,3,228,0,47,60,3.48
8,2,189,58,18,20,3.94
12,3,206,0,60,34,4.6
8,3,165,61,32,32,4.27
14,3,216,0,52,25,4.19
7,2,236,63,38,38,3.58
9,2,148,0,41,70,5.21
15,3,257,95,53,52,2.99
5,2,164,56,41,43,4.09
12,3,227,73,76,49,3.49
13,2,155,54,33,58,5.65
9,2,189,0,43,34,5.6
8,4,259,108,75,58,2.08
14,3,238,96,50,42,3.27
8,3,227,68,39,43,6.22
12,3,166,72,34,28,5.61
8,3,188,58,46,57,4.92
16,2,211,0,39,64,3.95
10,4,293,100,41,27,5.51
7,3,201,64,71,57,4.11
13,2,223,89,44,55,4.46
13,3,207,52,69,59,5.22
9,2,194,55,38,61,4.52
8,4,216,112,24,33,4.14
12,3,187,0,52,57,3.24
10,3,270,110,69,73,2.67
5,2,175,62,15,17,5.38
16,2,189,0,53,52,4.87
10,3,229,76,42,50,4.7
7,2,200,42,52,61,5.0
9,2,209,0,42,43,4.65
13,3,174,0,61,38,5.57
16,2,162,101,31,43,5.6
12,2,184,59,51,44,6.51
10,2,164,70,34,36,6.22
12,3,237,93,42,44,5.84
12,2,179,68,49,62,4.55
9,2,184,33,54,50,3.43
13,4,183,74,69,45,5.03
13,2,219,87,50,58,5.3
3,2,176,0,24,39,5.52
15,3,229,51,54,25,5.15
9,3,222,51,34,21,4.27
13,2,147,0,66,54,4.15
7,2,168,0,32,33,5.37
12,2,189,0,71,38,4.5
11,3,162,79,48,44,2.84
9,3,205,69,62,57,3.7
10,3,201,51,35,24,5.3
11,2,146,0,57,54,5.72
11,2,236,85,23,28,3.6
12,2,175,85,74,59,4.61
13,2,183,0,48,34,6.12
9,2,177,0,25,45,4.85
11,2,185,0,49,34,7.16
15,3,168,38,77,81,4.72
12,3,226,98,64,50,3.75
11,3,158,76,35,39,4.12
14,2,133,75,61,71,5.69
11,3,192,88,39,56,3.6
10,1,192,43,38,63,4.63
13,3,157,76,53,22,4.3
13,2,199,65,54,49,5.27
11,3,235,0,61,54,3.58
9,2,178,46,64,60,4.74
15,3,213,108,54,57,4.93
14,3,193,93,61,35,3.91
9,2,154,54,57,62,6.04
12,3,167,105,24,51,3.33
10,2,130,107,63,32,5.51
13,3,189,0,61,35,3.97
16,2,101,0,45,44,4.19
13,2,214,56,33,42,3.98
5,3,142,0,40,50,4.27
8,3,218,80,48,40,6.03
9,2,206,0,33,61,5.5
14,2,149,92,77,52,3.52
13,2,143,0,46,30,7.33
9,2,163,0,51,28,5.52
14,2,270,84,58,64,4.87
9,2,128,0,36,13,6.08
8,2,195,31,49,29,5.97
10,2,151,0,50,62,4.41
9,3,263,77,40,47,5.18
15,2,207,84,48,64,2.9
17,3,208,87,49,51,3.18
12,3,188,72,41,17,3.33
11,3,138,67,56,61,3.3
13,3,173,101,45,26,5.36
14,2,190,98,30,51,3.84
15,3,164,61,41,40,4.76
9,3,237,71,60,48,5.59
12,3,192,118,45,38,3.25
11,3,177,59,56,60,4.59
13,3,208,75,49,43,4.85
12,2,186,52,45,55,5.84
13,2,244,82,49,51,3.6
15,2,188,101,55,41,4.59
15,3,145,66,59,55,4.8
14,3,163,59,54,35,3.74
16,1,89,75,57,38,6.82
10,2,157,23,62,66,6.17
15,3,137,0,69,54,2.82
7,3,231,82,60,26,3.96
8,3,279,96,52,37,2.02
14,3,224,0,62,47,2.72
12,4,227,92,54,57,5.62
15,3,183,0,70,52,5.82
13,2,197,41,78,52,4.12
14,2,177,38,33,50,5.26
9,3,170,71,54,59,4.85
15,2,152,0,60,54,6.42
11,2,159,85,33,64,4.37
7,4,254,104,59,33,3.56
14,3,169,84,50,51,3.78
8,2,216,61,49,36,4.95
11,3,154,92,68,74,2.72
11,2,201,73,59,61,4.52
5,2,233,60,51,64,5.7
12,3,272,0,91,53,5.64
13,2,183,77,46,36,3.88
13,2,177,0,50,34,6.39
9,3,182,53,39,43,4.29
12,2,182,48,67,75,4.0
11,3,126,57,60,41,5.07
11,2,164,59,48,36,6.26
14,2,133,56,26,42,5.3
13,3,215,106,72,56,5.13
8,2,130,0,62,42,5.54
12,3,259,71,70,49,4.8
13,3,144,51,70,80,4.81
11,2,99,40,48,29,4.73
10,3,203,91,35,43,2.66
10,1,158,19,36,61,7.03
11,3,246,82,56,59,3.96
12,2,139,0,47,48,4.03
13,2,157,56,65,47,4.62
13,3,235,65,45,34,4.33
6,2,149,0,41,39,6.22
16,2,153,64,59,50,3.83
10,2,226,45,46,48,6.16
7,2,232,86,64,54,4.52
10,3,183,82,55,52,5.89
12,3,199,0,40,56,3.85
11,3,145,88,46,44,5.15
11,3,224,49,77,43,5.77
11,2,166,73,46,38,6.04
15,2,209,87,49,69,4.1
6,3,168,72,33,15,5.07
13,3,177,0,42,52,4.03
13,2,251,0,38,29,4.22
8,2,152,0,30,16,4.92
16,3,152,95,66,49,2.27
12,1,149,0,52,71,5.91
8,2,213,99,57,48,4.24
12,2,180,103,44,31,4.61
13,2,129,0,36,52,3.34
11,3,183,80,76,57,4.23
11,2,185,0,51,46,4.43
13,3,196,67,52,71,2.99
7,3,244,82,59,51,4.22
15,3,209,0,60,55,3.89
13,2,150,74,52,49,5.52
7,3,201,73,52,55,4.06
9,2,173,48,55,58,5.21
15,2,95,0,66,54,5.0
12,2,163,0,55,54,5.94
10,3,176,65,63,52,3.87
11,3,170,66,63,57,5.68
10,2,167,0,67,62,6.04
10,2,149,56,72,66,4.72
15,3,198,73,33,44,3.96
12,3,239,97,43,58,4.17
13,2,168,48,52,42,4.46
8,2,223,0,61,62,4.59
10,3,218,75,53,17,6.07
15,2,177,0,53,47,6.18
15,3,214,70,59,55,4.52
15,3,218,94,48,26,6.37
12,2,184,60,40,41,6.08
10,3,259,74,60,54,4.19
18,3,194,88,57,42,5.16
14,2,189,0,74,87,4.62
6,2,219,53,43,50,4.76
11,3,186,111,65,36,4.17
9,2,161,28,46,32,6.11
12,2,112,87,49,31,5.25
10,2,162,0,52,45,5.23
14,2,173,80,73,54,4.54
9,2,150,70,50,52,4.79
17,2,91,104,63,82,6.24
13,2,175,0,28,33,5.35
16,2,149,66,63,40,5.76
11,3,216,0,54,48,4.37
10,3,122,56,73,70,5.62
9,2,187,44,27,47,3.79
15,3,139,0,43,40,4.81
6,3,171,64,33,51,4.72
18,3,215,91,43,56,4.73
10,2,203,35,53,31,4.85
10,3,176,61,61,59,3.74
11,3,186,66,35,28,4.11
13,2,155,0,46,34,4.94
10,2,153,0,53,67,5.31
8,2,209,60,44,51,5.45
19,3,188,98,64,54,3.71
11,2,136,0,27,53,4.96
15,2,164,57,69,59,3.74
10,3,255,74,62,31,3.19
14,3,159,87,62,73,3.58
12,3,180,77,49,47,5.86
12,2,186,83,38,29,4.91
10,2,169,84,38,69,4.63
7,2,253,0,46,32,6.33
11,3,209,88,55,20,3.69
9,3,200,76,53,40,3.0
16,3,171,109,59,69,3.19
19,2,139,72,60,60,4.71
16,3,155,48,50,70,5.02
14,3,246,85,54,41,2.71
8,4,264,0,68,32,4.57
3,1,149,60,39,37,7.61
12,3,211,0,66,40,4.31
13,2,198,63,39,51,4.11
10,3,216,66,55,21,5.93
10,3,230,75,49,42,6.14
10,2,153,66,38,64,5.39
13,4,180,0,41,33,2.53
10,2,117,69,24,49,6.11
15,2,135,0,52,65,3.31
14,3,197,73,29,25,4.29
12,2,167,62,49,59,2.95
5,3,218,64,42,41,5.84
13,2,145,0,67,59,6.45
14,4,226,0,65,43,3.55
13,3,198,66,71,49,4.52
7,3,187,0,42,46,3.73
12,2,203,81,39,52,5.49
15,2,176,79,47,52,5.65
10,3,243,65,60,53,3.64
11,3,235,112,53,39,4.29
14,3,192,84,47,57,2.72
9,3,188,77,36,13,3.53
9,3,254,73,64,63,3.64
9,3,188,0,74,59,4.83
12,2,163,24,62,37,6.11
11,2,206,64,28,52,5.64
11,3,211,91,66,65,3.68
18,2,186,81,57,61,5.53
15,3,193,123,40,54,5.1
12,3,197,83,71,76,3.12
9,3,254,69,37,50,3.69
17,2,181,0,53,59,5.19
8,3,186,74,52,33,5.13
14,3,232,49,49,35,4.52
14,2,143,57,39,35,5.38
13,3,147,61,80,61,4.72
15,4,282,72,46,37,3.25
11,2,216,0,32,48,4.9
6,3,163,42,39,39,5.5
10,4,220,0,74,59,3.27
11,3,189,66,39,50,2.46
11,3,222,0,45,55,4.17
14,2,171,0,47,57,4.79
10,2,204,0,38,48,5.73
16,3,172,0,61,51,4.5
11,3,277,93,36,27,5.08
9,2,169,101,32,61,6.63
13,2,141,0,44,38,5.3
9,2,146,42,60,30,6.37
7,2,185,82,40,55,3.75
6,2,155,0,54,48,6.5
13,2,135,46,47,67,4.93
8,2,155,64,37,45,4.69
8,3,217,68,49,23,5.95
13,2,112,59,58,36,6.82
11,4,270,77,54,48,4.4
14,2,104,65,64,48,3.79
11,2,178,63,44,62,4.77
12,3,190,102,51,45,3.55
15,2,257,103,47,39,4.68
13,2,188,49,68,46,5.26
11,3,225,83,54,53,6.83
9,3,155,79,49,42,4.58
10,3,143,54,62,41,6.91
12,1,123,0,71,81,5.02
13,2,162,53,42,46,5.2
15,3,162,0,60,45,5.11
11,2,173,78,60,60,3.16
3,3,159,0,78,22,6.87
12,2,142,70,51,55,3.65
13,2,116,0,58,55,4.81
16,4,204,0,70,56,4.84
12,2,160,34,60,53,3.24
13,2,201,95,28,46,5.7
6,2,187,40,48,27,4.67
11,3,179,63,71,37,5.87
9,3,175,0,51,36,5.72
11,2,226,98,56,57,3.31
13,2,178,48,49,60,4.33
7,4,266,88,55,54,2.38
12,2,85,0,44,36,7.59
14,3,252,0,77,62,3.56
15,2,180,55,53,50,5.79
13,3,125,73,62,47,4.33
15,2,118,72,70,66,3.9
11,1,198,44,30,47,6.74
9,2,177,70,30,38,5.17
12,2,212,67,34,30,4.41
15,3,222,85,51,63,3.61
14,2,137,0,50,39,4.29
9,2,134,85,34,25,5.25
19,3,161,106,36,41,3.81
11,3,227,92,66,57,3.16
11,2,201,51,33,49,4.43
11,2,190,60,23,26,5.18
10,2,181,0,57,46,5.56
10,2,142,64,42,27,6.47
9,2,163,64,42,48,5.81
13,3,161,67,37,48,5.59
14,2,159,62,73,53,5.48
9,3,182,61,56,63,4.97
4,2,218,58,21,35,5.93
8,3,192,28,47,32,6.65
16,2,188,86,34,50,4.8
14,2,150,42,49,45,5.29
9,3,178,0,72,52,5.4
14,3,215,69,54,50,4.75
9,3,188,106,35,32,2.77
11,2,218,47,51,46,4.44
12,3,229,113,62,48,4.74
11,3,213,76,47,49,5.83
19,3,212,74,37,16,4.83
15,2,184,57,59,55,6.05
15,2,182,54,38,38,6.5
16,3,200,94,57,63,4.6
11,3,158,73,60,58,4.06
12,3,204,86,69,40,4.89
12,3,234,78,50,44,3.68
12,2,181,48,51,46,3.99
19,3,193,96,57,53,4.61
12,2,130,75,36,65,5.74
13,2,181,56,57,37,4.02
16,3,210,0,55,38,4.38
16,3,132,0,61,64,4.16
12,3,238,74,43,53,3.68
7,2,201,46,39,45,4.97
15,3,139,86,27,46,4.84
12,3,224,112,61,42,5.25
10,2,135,74,46,56,4.97
12,3,232,82,40,66,3.15
17,2,140,0,41,34,3.26
12,3,207,88,45,54,4.18
10,3,206,94,45,51,4.35
13,2,183,91,58,39,4.23
11,2,153,38,72,59,5.73
19,3,154,87,56,51,4.22
9,3,157,53,63,19,4.7
4,2,136,39,50,45,4.66
9,3,200,86,50,55,3.62
8,4,209,107,30,33,4.55
10,3,194,70,47,50,4.43
14,2,136,0,57,56,5.15
12,2,213,93,53,49,5.98
11,3,194,66,51,28,4.27
15,2,168,84,91,70,3.11
15,3,190,86,51,83,3.07
16,2,157,53,51,51,5.22
13,2,72,85,44,45,5.1
9,4,294,78,56,43,4.12
5,3,205,76,34,45,3.95
4,2,205,79,51,39,3.98
13,3,241,49,55,43,3.74
15,2,214,86,57,58,4.38
18,2,132,70,47,57,3.35
13,3,207,108,51,41,2.62
10,2,140,46,51,54,6.35
8,3,237,74,59,49,5.71
8,3,244,82,49,44,5.29
11,2,174,50,49,40,5.71
11,2,120,0,33,40,6.5
18,3,226,99,42,39,3.99
7,1,204,0,43,52,4.85
9,2,134,0,51,59,7.18
13,2,162,56,66,41,3.67
10,2,94,72,60,55,5.79
12,3,191,0,47,68,4.25
14,3,145,71,64,50,4.71
9,3,205,77,50,49,2.74
9,2,198,54,71,49,6.52
7,3,181,0,29,63,5.04
17,2,178,84,36,52,5.43
10,3,218,109,32,39,3.95
11,3,220,67,59,43,3.96
13,2,173,47,86,49,4.26
14,3,197,58,35,20,3.92
9,1,54,46,32,26,8.05
11,4,230,86,59,43,3.54
12,2,161,0,47,52,5.5
10,3,178,48,45,33,4.14
10,3,197,64,42,62,4.68
13,2,190,79,46,47,5.74
12,3,144,0,51,45,4.77
5,2,202,49,59,64,5.64
11,3,159,0,74,52,4.61
5,3,208,77,28,36,3.78
15,3,175,100,62,59,1.89
13,2,173,0,48,35,6.39
14,2,141,61,45,42,5.89
10,3,170,61,53,47,4.08
9,2,220,78,53,62,3.4
13,2,180,58,68,50,5.92
17,3,212,46,74,53,3.8
12,3,260,85,80,71,0.91
10,2,192,0,60,68,5.77
17,3,209,0,65,42,3.78
11,3,244,90,34,30,3.44
12,2,168,56,50,44,5.97
10,2,190,68,37,59,3.84
14,3,196,51,65,64,3.24
7,3,221,64,50,38,3.17
7,2,183,66,32,57,5.92
14,3,177,0,54,50,3.4
10,3,183,0,63,36,6.12
13,2,172,65,44,66,5.45
9,3,261,97,60,47,2.11
15,3,204,47,48,71,3.72
10,2,236,0,41,41,5.57
8,2,186,0,43,47,3.78
10,2,216,0,57,57,5.42
14,3,216,0,57,43,3.77
12,2,106,0,45,87,4.52
9,3,213,0,26,26,2.99
13,2,126,0,51,43,5.25
10,3,181,73,41,31,6.83
13,3,246,74,50,43,3.02
11,2,152,64,48,39,4.41
9,3,206,0,35,38,4.63
10,2,187,88,47,47,4.63
9,3,260,0,56,41,5.48
10,3,156,0,37,58,4.49
13,4,166,0,58,47,3.78
14,3,122,63,53,64,6.8
14,2,145,0,41,53,4.18
10,3,234,0,52,46,4.48
11,3,148,80,39,34,4.55
11,2,139,91,46,38,4.87
11,2,97,31,53,53,7.18
9,3,171,61,37,18,6.43
16,2,164,87,31,51,2.64
13,3,241,80,66,66,4.07
13,2,122,68,58,48,5.8
14,3,185,0,46,55,4.75
10,2,214,0,65,61,4.74
7,3,165,53,25,38,4.91
13,2,122,65,38,40,5.82
12,3,201,77,54,40,4.05
12,2,164,54,60,43,5.6
16,2,167,57,65,36,5.04
10,3,248,61,61,52,2.94
16,2,184,60,63,44,6.1
14,3,221,0,57,16,3.22
10,3,236,68,67,53,2.96
10,3,214,0,67,62,5.15
12,3,170,57,55,47,6.98
11,3,154,79,36,50,4.89
10,3,180,0,68,37,5.14
15,3,137,60,42,61,4.58
10,3,199,55,52,45,5.89
13,3,193,0,66,56,3.07
16,3,218,98,58,63,2.93
11,2,172,72,21,27,5.4
14,3,170,85,42,70,2.76
10,2,141,89,45,71,3.93
10,2,225,57,64,77,4.25
5,3,212,64,63,51,4.81
10,1,159,69,33,40,6.82
9,2,202,57,41,47,5.46
10,3,199,50,53,36,5.21
8,2,160,60,36,56,4.71
9,2,166,62,67,35,5.73
14,1,154,56,51,65,4.34
14,3,113,0,52,60,3.33
7,2,216,54,55,56,3.69
14,4,263,75,53,52,3.13
8,3,194,82,57,29,4.36
9,2,173,41,25,68,4.68
11,2,198,99,27,61,4.31
12,3,149,60,32,33,4.18
7,2,183,68,42,43,6.05
8,2,121,48,45,43,5.95
13,3,187,68,51,41,3.8
12,2,153,65,35,21,3.72
11,3,236,61,66,47,3.98
13,1,178,53,14,35,6.99
13,3,180,59,59,69,4.88
11,3,203,88,57,58,3.76
12,3,143,0,58,36,5.41
13,2,248,98,65,67,2.98
9,3,167,78,56,55,5.38
12,3,202,19,50,48,4.32
10,3,205,71,31,32,4.91
13,3,261,0,54,62,4.77
13,2,155,90,31,17,4.2
14,3,257,93,73,43,4.47
14,2,211,0,55,36,5.93
13,2,175,103,47,63,3.78
12,3,158,88,41,28,5.69
15,2,124,0,42,33,3.68
16,3,221,67,51,40,5.25
14,3,136,0,51,39,4.87
15,3,183,32,60,63,4.16
9,3,198,69,55,51,3.05
10,3,228,0,55,21,5.37
19,2,135,71,47,55,4.17
17,2,235,70,65,47,4.17
12,2,124,96,42,38,4.59
11,3,240,125,56,33,4.52
12,3,213,68,43,30,5.71
12,3,129,0,39,38,5.03
9,2,158,64,31,38,5.44
10,3,139,74,45,23,5.7
14,3,160,85,50,47,3.3
12,3,150,102,50,47,3.04
10,3,167,78,42,45,4.29
13,2,200,82,61,56,6.24
13,2,132,0,49,47,5.48
5,2,204,0,65,53,5.99
9,2,217,63,63,65,4.62
15,2,169,86,48,40,4.82
12,2,202,91,51,22,5.33
14,2,160,0,61,50,4.86
